Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
P1,35.8553,121.519,BottomLayer,175
R17,40.5603,97.2319,BottomLayer,205
C8,38.2054,101.099,BottomLayer,115
R16,30.8377,109.8005,BottomLayer,115
U2,60.7703,104.1734,BottomLayer,115
U1,77.5015,94.3213,BottomLayer,115
SW3,84.311,72.1465,TopLayer,25
SW2,52.313,105.7466,BottomLayer,205
SW1,18.9241,115.9465,TopLayer,205
R15,73.9514,91.2866,BottomLayer,205
R14,41.3952,111.4135,BottomLayer,115
R13,43.1913,107.5617,BottomLayer,115
R12,68.4574,103.0686,BottomLayer,295
R11,47.1475,104.993,BottomLayer,115
R10,44.8818,103.9364,BottomLayer,115
R9,70.1479,99.4434,BottomLayer,295
R8,79.294,78.0547,BottomLayer,115
R7,44.1856,98.9224,BottomLayer,205
R6,85.2626,87.734,BottomLayer,205
R5,83.6777,91.1327,BottomLayer,295
R4,25.4481,117.2177,BottomLayer,295
R1,13.9232,112.947,BottomLayer,295
Q3,49.9886,110.7313,BottomLayer,115
Q2,46.1368,108.9351,BottomLayer,115
Q1,83.3724,79.9565,BottomLayer,205
P3,47.2888,115.9249,TopLayer,250
F1,53.1008,114.1135,BottomLayer,115
D5,24.3095,109.7355,TopLayer,25
D4,32.2831,106.8334,TopLayer,25
D3,26.8452,104.2977,TopLayer,25
D2,21.4074,101.762,TopLayer,25
D1,86.0696,84.8003,BottomLayer,205
C7,68.2143,98.2659,BottomLayer,115
C6,27.7121,118.2779,BottomLayer,115
C5,80.5527,95.4682,BottomLayer,295
C4,66.4347,106.8147,BottomLayer,295
C3,64.1689,105.7582,BottomLayer,295
C2,57.7967,109.9587,BottomLayer,205
C1,58.8532,107.693,BottomLayer,205
MP1,89.0009,78.5814,TopLayer,25
U3,25.2991,103.5767,BottomLayer,295
R3,34.4147,101.5381,TopLayer,205
R2,29.8831,99.425,TopLayer,205
P1,33.9805,88.8959,BottomLayer,177
R17,39.5302,64.7879,BottomLayer,207
C8,37.0418,68.5704,BottomLayer,117
R16,29.3748,77.0095,BottomLayer,117
U2,59.4856,72.4304,BottomLayer,117
U1,76.5505,63.1682,BottomLayer,117
SW3,84.1297,41.2445,TopLayer,27
SW2,50.9786,73.7075,BottomLayer,207
SW1,17.254,82.7359,TopLayer,207
R15,73.1085,60.0115,BottomLayer,207
R14,39.8696,78.9899,BottomLayer,117
R13,41.7991,75.2031,BottomLayer,117
R12,67.2066,71.5945,BottomLayer,297
R11,45.8426,72.774,BottomLayer,117
R10,43.615,71.6391,BottomLayer,117
R9,69.0225,68.0305,BottomLayer,297
R8,78.9096,46.9741,BottomLayer,117
R7,43.0942,66.6038,BottomLayer,207
R6,84.5367,56.8558,BottomLayer,207
R5,82.8342,60.1971,BottomLayer,297
R4,23.7297,84.2341,BottomLayer,297
R1,12.3608,79.5637,BottomLayer,297
Q3,48.4816,78.608,BottomLayer,117
Q2,44.6949,76.6786,BottomLayer,117
Q1,82.9191,49.0171,BottomLayer,207
P3,45.6022,83.7043,TopLayer,252
F1,51.4739,82.0967,BottomLayer,117
D5,22.8529,76.7167,TopLayer,27
D4,30.9229,74.0946,TopLayer,27
D3,25.5769,71.3706,TopLayer,27
D2,20.2308,68.6467,TopLayer,27
D1,85.4457,53.952,BottomLayer,207
C7,67.1313,66.7863,BottomLayer,117
C6,25.9554,85.3726,BottomLayer,117
C5,79.5598,64.4209,BottomLayer,297
C4,65.0544,75.2678,BottomLayer,297
C3,62.8269,74.1328,BottomLayer,297
C2,56.3119,78.1084,BottomLayer,207
C1,57.4469,75.8809,BottomLayer,207
MP1,88.5922,47.8392,TopLayer,27
U3,24.0568,70.5961,BottomLayer,297
R3,33.238,68.8769,TopLayer,207
R2,28.783,66.607,TopLayer,207
P1,33.2541,56.1809,BottomLayer,179
R17,39.6418,32.2812,BottomLayer,209
C8,37.0229,35.9746,BottomLayer,119
R16,29.0661,44.1409,BottomLayer,119
U2,59.3183,40.6155,BottomLayer,119
U1,76.6961,31.9545,BottomLayer,119
SW3,85.0358,10.3087,TopLayer,29
SW2,50.7719,41.5949,BottomLayer,209
SW1,16.7528,49.4408,TopLayer,209
R15,73.3663,28.6796,BottomLayer,209
R14,39.4854,46.4864,BottomLayer,119
R13,41.5458,42.7692,BottomLayer,119
R12,67.0638,40.0496,BottomLayer,299
R11,45.6716,40.4828,BottomLayer,119
R10,43.4851,39.2708,BottomLayer,119
R9,69.003,36.5511,BottomLayer,299
R8,79.6189,15.8526,BottomLayer,119
R7,43.1403,34.2204,BottomLayer,209
R6,84.8977,25.9247,BottomLayer,209
R5,83.0797,29.2045,BottomLayer,299
R4,23.1722,51.1641,BottomLayer,299
R1,11.9733,46.0998,BottomLayer,299
Q3,48.1055,46.4053,BottomLayer,119
Q2,44.3883,44.3449,BottomLayer,119
Q1,83.5547,18.0343,BottomLayer,209
P3,45.0499,51.398,TopLayer,254
F1,50.9742,49.9963,BottomLayer,119
D5,22.5584,43.6207,TopLayer,29
D4,30.715,41.2819,TopLayer,29
D3,25.4672,38.373,TopLayer,29
D2,20.2195,35.4641,TopLayer,29
D1,85.9075,23.0543,BottomLayer,209
C7,67.1563,35.2417,BottomLayer,119
C6,25.3569,52.3796,BottomLayer,119
C5,79.6598,33.3114,BottomLayer,299
C4,64.7847,43.6455,BottomLayer,299
C3,62.5981,42.4335,BottomLayer,299
C2,55.9484,46.1793,BottomLayer,209
C1,57.1604,43.9928,BottomLayer,209
MP1,89.2654,17.0551,TopLayer,29
U3,23.9751,37.5459,BottomLayer,299
R3,33.2107,36.1482,TopLayer,209
R2,28.8376,33.7241,TopLayer,209
